Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN,matched_name,use_microbit
"State College Area School District, Pennsylvania",NDA,STATE COLLEGE AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4222770,240 Villa Crest Dr,State College,http://www.scasd.org,STATE COLLEGE AREA SD,Yes
"Carson City School District, Nevada",NDA,CARSON CITY SCHOOL DISTRICT,NEVADA,NCES_District-3200390,PO Box 603,Carson City,http://carsoncityschools.com,CARSON CITY,Yes
"Gwinnett County Public Schools, Georgia",NDA,GWINNETT COUNTY PUBLIC SCHOOLS,GEORGIA,NCES_District-1302550,52 Gwinnett Dr,Lawrenceville,,GWINNETT COUNTY,Yes
"Tracy Unified School District, California",NDA,TRACY UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0601792,PO Box 2286,Stockton,http://www.stocktoncollegiate.org,STOCKTON COLLEGIATE INTERNATIONAL SECONDARY DISTRICT,Yes
"Pasco County Schools, Florida",NDA,PASCO COUNTY SCHOOLS,FLORIDA,NCES_District-1201530,7227 LAND O LAKES BLVD,LAND O LAKES,http://WWW.PASCO.K12.FL.US,PASCO,Yes
"Georgia Institute of Technology, Georgia",NDA,GEORGIA INSTITUTE OF TECHNOLOGY,GEORGIA,NCES_District-1300257,4550 RiverGreen Parkway - Suit,Duluth,http://www.yhale.org,STATE SPECIALTY SCHOOLS II- YI HWANG ACADEMY OF LANGUAGE EX,Yes
"Harmony Public Schools, Texas",NDA,HARMONY PUBLIC SCHOOLS,TEXAS,NCES_District-4800210,9321 W SAM HOUSTON PKWY S,HOUSTON,http://hva.harmonytx.org,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,Yes
"Hawaii State Department of Education, Hawaii",NDA,HAWAII STATE DEPARTMENT OF EDUCATION,HAWAII,NCES_District-1500030,PO Box 2360,Honolulu,http://www.hawaiipublicschools.org,HAWAII DEPARTMENT OF EDUCATION,Yes
"Broward County Public Schools, Florida",NDA,BROWARD COUNTY PUBLIC SCHOOLS,FLORIDA,NCES_District-1200180,600 SE 3RD AVE FL 10,FORT LAUDERDALE,http://www.browardschools.com,BROWARD,Yes
"Spokane Public Schools, Washington",NDA,SPOKANE PUBLIC SCHOOLS,WASHINGTON,NCES_District-5302280,3830 N Sullivan Rd,SPOKANE,,EAST VALLEY SCHOOL DISTRICT (SPOKANE),Yes
"Okaloosa County School District, Florida",NDA,OKALOOSA COUNTY SCHOOL DISTRICT,FLORIDA,NCES_District-1201380,120 LOWERY PL SE,FORT WALTON BEACH,http://www.okaloosaschools.com/,OKALOOSA,Yes
