Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"State College Area School District, Pennsylvania",NDA,STATE COLLEGE AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Carson City School District, Nevada",NDA,CARSON CITY SCHOOL DISTRICT,NEVADA,,,,
"Gwinnett County Public Schools, Georgia",NDA,GWINNETT COUNTY PUBLIC SCHOOLS,GEORGIA,,,,
"Tracy Unified School District, California",NDA,TRACY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Pasco County Schools, Florida",NDA,PASCO COUNTY SCHOOLS,FLORIDA,,,,
"Georgia Institute of Technology, Georgia",NDA,GEORGIA INSTITUTE OF TECHNOLOGY,GEORGIA,,,,
"Harmony Public Schools, Texas",NDA,HARMONY PUBLIC SCHOOLS,TEXAS,,,,
"Hawaii State Department of Education, Hawaii",NDA,HAWAII STATE DEPARTMENT OF EDUCATION,HAWAII,,,,
"Broward County Public Schools, Florida",NDA,BROWARD COUNTY PUBLIC SCHOOLS,FLORIDA,,,,
"Spokane Public Schools, Washington",NDA,SPOKANE PUBLIC SCHOOLS,WASHINGTON,,,,
"Okaloosa County School District, Florida",NDA,OKALOOSA COUNTY SCHOOL DISTRICT,FLORIDA,,,,
"Oak Park Elementary School District No. 97, Illinois",NDA,OAK PARK ELEMENTARY SCHOOL DISTRICT NO. 97,ILLINOIS,,,,
"Los Angeles Unified School District, California",NDA,LOS ANGELES UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Plano Independent School District, Texas",NDA,PLANO INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Lancaster-Lebanon Intermediate Unit 13, Pennsylvania",NDA,LANCASTER-LEBANON INTERMEDIATE UNIT 13,PENNSYLVANIA,,,,
"Chesapeake Public Schools, Virginia",NDA,CHESAPEAKE PUBLIC SCHOOLS,VIRGINIA,,,,
"Davis School District, Utah",NDA,DAVIS SCHOOL DISTRICT,UTAH,,,,
"Akron City School District, Ohio",NDA,AKRON CITY SCHOOL DISTRICT,OHIO,,,,
"Fort Zumwalt R-II School District, Missouri",NDA,FORT ZUMWALT R-II SCHOOL DISTRICT,MISSOURI,,,,
"Beaverton School District, Oregon",NDA,BEAVERTON SCHOOL DISTRICT,OREGON,,,,
"Santa Fe Public School District, New Mexico",NDA,SANTA FE PUBLIC SCHOOL DISTRICT,NEW MEXICO,,,,
"Forest Area School District, Pennsylvania",NDA,FOREST AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Socorro Independent School District, Texas",NDA,SOCORRO INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Long Beach Unified School District, California",NDA,LONG BEACH UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Duval County Public Schools, Florida",NDA,DUVAL COUNTY PUBLIC SCHOOLS,FLORIDA,,,,
"Santa Ana Unified School District, California",NDA,SANTA ANA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Moore Public Schools, Oklahoma",NDA,MOORE PUBLIC SCHOOLS,OKLAHOMA,,,,
"Park Hill School District, Missouri",NDA,PARK HILL SCHOOL DISTRICT,MISSOURI,,,,
"Kenosha Unified School District, Wisconsin",NDA,KENOSHA UNIFIED SCHOOL DISTRICT,WISCONSIN,,,,
"Penn Manor School District, Pennsylvania",NDA,PENN MANOR SCHOOL DISTRICT,PENNSYLVANIA,,,,
"San Diego Unified School District, California",NDA,SAN DIEGO UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Milwaukee Public Schools, Wisconsin",NDA,MILWAUKEE PUBLIC SCHOOLS,WISCONSIN,,,,
"San Francisco Unified School District, California",NDA,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"La Joya Independent School District, Texas",NDA,LA JOYA INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Hollidaysburg Area School District, Pennsylvania",NDA,HOLLIDAYSBURG AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Tupelo Public School District, Mississippi",NDA,TUPELO PUBLIC SCHOOL DISTRICT,MISSISSIPPI,,,,
"Southwestern Illinois College, Illinois",NDA,SOUTHWESTERN ILLINOIS COLLEGE,ILLINOIS,,,,
"St. Charles Parish Public Schools, Louisiana",NDA,ST. CHARLES PARISH PUBLIC SCHOOLS,LOUISIANA,,,,
"Cobb County School District, Georgia",NDA,COBB COUNTY SCHOOL DISTRICT,GEORGIA,,,,
"Orange County Public Schools, Florida",NDA,ORANGE COUNTY PUBLIC SCHOOLS,FLORIDA,,,,
"Leander Independent School District, Texas",NDA,LEANDER INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Columbus City School District, Ohio",NDA,COLUMBUS CITY SCHOOL DISTRICT,OHIO,,,,
"Miami-Dade County Public Schools, Florida",NDA,MIAMI-DADE COUNTY PUBLIC SCHOOLS,FLORIDA,,,,
"Bakersfield City School District, California",NDA,BAKERSFIELD CITY SCHOOL DISTRICT,CALIFORNIA,,,,
"Southeastern Technical College, Georgia",NDA,SOUTHEASTERN TECHNICAL COLLEGE,GEORGIA,,,,
"Pflugerville Independent School District, Texas",NDA,PFLUGERVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Career Technical Education, California",NDA,CAREER TECHNICAL EDUCATION,CALIFORNIA,,,,
"Community Consolidated School District 181, Illinois",NDA,COMMUNITY CONSOLIDATED SCHOOL DISTRICT 181,ILLINOIS,,,,
"Academy of Math and Science, Arizona",NDA,ACADEMY OF MATH AND SCIENCE,ARIZONA,,,,
"Turlock Unified School District, California",NDA,TURLOCK UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Toms River Regional Schools, New Jersey",NDA,TOMS RIVER REGIONAL SCHOOLS,NEW JERSEY,,,,
"Cleveland Metropolitan School District, Ohio",NDA,CLEVELAND METROPOLITAN SCHOOL DISTRICT,OHIO,,,,
