Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Modesto City Schools, California",NDA,MODESTO CITY SCHOOLS,CALIFORNIA,NCES_District-0601330,426 Locust St.,Modesto,http://www.monet.k12.ca.us
"Stanislaus County Office of Education, California",NDA,STANISLAUS COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691041,1100 H St.,Modesto,http://www.stancoe.org
"San Antonio ISD, Texas",NDA,SAN ANTONIO ISD,TEXAS,NCES_District-4838730,514 QUINCY ST,SAN ANTONIO,http://www.saisd.net/
"Montgomery County Public Schools, Maryland",NDA,MONTGOMERY COUNTY PUBLIC SCHOOLS,MARYLAND,NCES_District-2400480,850 Hungerford Drive,Rockville,http://www.montgomeryschoolsmd.org
"Cabarrus County Schools, North Carolina",NDA,CABARRUS COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3700530,PO Box 388,Concord,http://www.cabarrus.k12.nc.us/
"Fort Bend ISD, Texas",NDA,FORT BEND ISD,TEXAS,NCES_District-4819650,16431 LEXINGTON BLVD,SUGAR LAND,http://www.fortbend.k12.tx.us/
"United ISD, Texas",NDA,UNITED ISD,TEXAS,NCES_District-4843650,201 LINDENWOOD DR,LAREDO,http://www.uisd.net
"Charlotte-Mecklenburg Schools, North Carolina",NDA,CHARLOTTE-MECKLENBURG SCHOOLS,NORTH CAROLINA,NCES_District-3702970,PO Box 30035,Charlotte,http://www.cmsk12.org
"Harlandale ISD, Texas",NDA,HARLANDALE ISD,TEXAS,NCES_District-4822470,102 GENEVIEVE ST,SAN ANTONIO,http://www.harlandale.net/
"Cattaraugus-Allegany-Erie-Wyoming BOCES, New York",NDA,CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES,NEW YORK,NCES_District-3680150,1825 WINDFALL RD,OLEAN,http://www.caboces.org
"Richmond County Schools, North Carolina",NDA,RICHMOND COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3703870,PO Drawer 1259,Hamlet,http://www.richmond.k12.nc.us/
"Anne Arundel County Public Schools, Maryland",NDA,ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,MARYLAND,NCES_District-2400060,2644 Riva Road,Annapolis,http://www.aacps.org
"Michigan City Area Schools, Indiana",NDA,MICHIGAN CITY AREA SCHOOLS,INDIANA,NCES_District-1806570,408 S Carroll Ave,Michigan City,http://www.mcas.k12.in.us
"San Benito CISD, Texas",NDA,SAN BENITO CISD,TEXAS,NCES_District-4838790,240 N CROCKETT ST,SAN BENITO,http://www.sbcisd.net/
"Mesquite ISD, Texas",NDA,MESQUITE ISD,TEXAS,NCES_District-4830390,3819 TOWNE CROSSING BLVD,MESQUITE,http://www.mesquiteisd.org
"Madison Metropolitan School District, Wisconsin",NDA,MADISON METROPOLITAN SCHOOL DISTRICT,WISCONSIN,NCES_District-5508520,545 W Dayton St,Madison,http://www.madison.k12.wi.us
"Lake Washington School District, Washington",NDA,LAKE WASHINGTON SCHOOL DISTRICT,WASHINGTON,NCES_District-5304230,PO BOX 97039,REDMOND,http://www.lwsd.org
"Klein ISD, Texas",NDA,KLEIN ISD,TEXAS,NCES_District-4825740,7200 SPRING CYPRESS RD,KLEIN,http://www.kleinisd.net
"Spring Branch ISD, Texas",NDA,SPRING BRANCH ISD,TEXAS,NCES_District-4841100,955 CAMPBELL RD,HOUSTON,http://www.springbranchisd.com
"Humble ISD, Texas",NDA,HUMBLE ISD,TEXAS,NCES_District-4823910,10203 BIRCHRIDGE DR,HUMBLE,http://www.humbleisd.net
"Dallas ISD, Texas",NDA,DALLAS ISD,TEXAS,NCES_District-4816230,9400 N CENTRAL EXPY,DALLAS,http://www.dallasisd.org
"Atlanta Public Schools, Georgia",NDA,ATLANTA PUBLIC SCHOOLS,GEORGIA,NCES_District-1300120,210 Pryor Rd.,Atlanta,
"Omaha Public Schools, Nebraska",NDA,OMAHA PUBLIC SCHOOLS,NEBRASKA,NCES_District-3174820,3215 CUMING ST,OMAHA,
"Arlington County Public Schools, Virginia",NDA,ARLINGTON COUNTY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5100270,2110 Washington Blvd.,Arlington,http://www.apsva.us
"Hurst-Euless-Bedford ISD, Texas",NDA,HURST-EULESS-BEDFORD ISD,TEXAS,NCES_District-4824060,1849A CENTRAL DR,BEDFORD,http://www.hebisd.edu
"Upper Valley Career Center, Ohio",NDA,UPPER VALLEY CAREER CENTER,OHIO,NCES_District-3906212,8811 Career Dr,Piqua,http://www.uppervalleycc.org/
"Walla Walla Public Schools, Washington",NDA,WALLA WALLA PUBLIC SCHOOLS,WASHINGTON,NCES_District-5309450,364 S PARK ST,WALLA WALLA,http://www.wwps.org
"Yorktown Community Schools, Indiana",NDA,YORKTOWN COMMUNITY SCHOOLS,INDIANA,NCES_District-1807230,2311 S Broadway St,Yorktown,http://www.yorktown.k12.in.us/
"Yakima School District, Washington",NDA,YAKIMA SCHOOL DISTRICT,WASHINGTON,NCES_District-5310110,104 N 4TH AVE,YAKIMA,http://www.yakimaschools.org
"Onondaga-Cortland-Madison BOCES, New York",NDA,ONONDAGA-CORTLAND-MADISON BOCES,NEW YORK,NCES_District-3680580,PO BOX 4754,SYRACUSE,http://www.ocmboces.org
"Peninsula School District, Washington",NDA,PENINSULA SCHOOL DISTRICT,WASHINGTON,NCES_District-5306690,14015 62ND AVE NW,GIG HARBOR,
"Prince George's County Public Schools, Maryland",NDA,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,MARYLAND,NCES_District-2400510,14201 School Lane,Upper Marlboro,http://www.pgcps.org
"Longview School District, Washington",NDA,LONGVIEW SCHOOL DISTRICT,WASHINGTON,NCES_District-5304470,2715 LILAC ST,LONGVIEW,
"Canutillo ISD, Texas",NDA,CANUTILLO ISD,TEXAS,NCES_District-4812780,P O BOX 100,CANUTILLO,http://www.canutillo-isd.org
"Elkhorn Public Schools, Nebraska",NDA,ELKHORN PUBLIC SCHOOLS,NEBRASKA,NCES_District-3170110,20650 GLENN ST,ELKHORN,
"Lancaster Central School District, New York",NDA,LANCASTER CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3616680,177 CENTRAL AVE,LANCASTER,http://www.lancasterschools.org
