Agency,,Total spend (approx),Number of purchases
"State College Area School District, Pennsylvania",,NDA,NDA
"Carson City School District, Nevada",,NDA,NDA
"Gwinnett County Public Schools, Georgia",,NDA,NDA
"Tracy Unified School District, California",,NDA,NDA
"Pasco County Schools, Florida",,NDA,NDA
"Georgia Institute of Technology, Georgia",,NDA,NDA
"Harmony Public Schools, Texas",,NDA,NDA
"Modesto City Schools, California",,NDA,NDA
"Stanislaus County Office of Education, California",,NDA,NDA
"Hawaii State Department of Education, Hawaii",,NDA,NDA
"San Antonio ISD, Texas",,NDA,NDA
"Montgomery County Public Schools, Maryland",,NDA,NDA
"Broward County Public Schools, Florida",,NDA,NDA
"Spokane Public Schools, Washington",,NDA,NDA
"Okaloosa County School District, Florida",,NDA,NDA
"Oak Park Elementary School District No. 97, Illinois",,NDA,NDA
"Los Angeles Unified School District, California",,NDA,NDA
"Plano Independent School District, Texas",,NDA,NDA
"Lancaster-Lebanon Intermediate Unit 13, Pennsylvania",,NDA,NDA
"Chesapeake Public Schools, Virginia",,NDA,NDA
"Davis School District, Utah",,NDA,NDA
"Akron City School District, Ohio",,NDA,NDA
"Fort Zumwalt R-II School District, Missouri",,NDA,NDA
"Cabarrus County Schools, North Carolina",,NDA,NDA
"Beaverton School District, Oregon",,NDA,NDA
"Santa Fe Public School District, New Mexico",,NDA,NDA
"Forest Area School District, Pennsylvania",,NDA,NDA
"Socorro Independent School District, Texas",,NDA,NDA
"Long Beach Unified School District, California",,NDA,NDA
"Fort Bend ISD, Texas",,NDA,NDA
"Duval County Public Schools, Florida",,NDA,NDA
"Santa Ana Unified School District, California",,NDA,NDA
"United ISD, Texas",,NDA,NDA
"Moore Public Schools, Oklahoma",,NDA,NDA
"Park Hill School District, Missouri",,NDA,NDA
"Kenosha Unified School District, Wisconsin",,NDA,NDA
"Penn Manor School District, Pennsylvania",,NDA,NDA
"San Diego Unified School District, California",,NDA,NDA
"Milwaukee Public Schools, Wisconsin",,NDA,NDA
"San Francisco Unified School District, California",,NDA,NDA
"La Joya Independent School District, Texas",,NDA,NDA
"Hollidaysburg Area School District, Pennsylvania",,NDA,NDA
"Tupelo Public School District, Mississippi",,NDA,NDA
"Southwestern Illinois College, Illinois",,NDA,NDA
"St. Charles Parish Public Schools, Louisiana",,NDA,NDA
"Charlotte-Mecklenburg Schools, North Carolina",,NDA,NDA
"Cobb County School District, Georgia",,NDA,NDA
"Harlandale ISD, Texas",,NDA,NDA
"Orange County Public Schools, Florida",,NDA,NDA
"Cattaraugus-Allegany-Erie-Wyoming BOCES, New York",,NDA,NDA
"Leander Independent School District, Texas",,NDA,NDA
"Columbus City School District, Ohio",,NDA,NDA
"Miami-Dade County Public Schools, Florida",,NDA,NDA
"Richmond County Schools, North Carolina",,NDA,NDA
"Bakersfield City School District, California",,NDA,NDA
"Southeastern Technical College, Georgia",,NDA,NDA
"Pflugerville Independent School District, Texas",,NDA,NDA
"Career Technical Education, California",,NDA,NDA
"Anne Arundel County Public Schools, Maryland",,NDA,NDA
"Community Consolidated School District 181, Illinois",,NDA,NDA
"Academy of Math and Science, Arizona",,NDA,NDA
"Turlock Unified School District, California",,NDA,NDA
"Toms River Regional Schools, New Jersey",,NDA,NDA
"Cleveland Metropolitan School District, Ohio",,NDA,NDA
"Michigan City Area Schools, Indiana",,NDA,NDA
"East Moline School District No. 37, Illinois",,NDA,NDA
"San Benito CISD, Texas",,NDA,NDA
"Elyria City Schools School District, Ohio",,NDA,NDA
"San Marcos Unified School District, California",,NDA,NDA
"Volusia County Schools, Florida",,NDA,NDA
"Mesquite ISD, Texas",,NDA,NDA
"Lee County Public Schools, Florida",,NDA,NDA
"Providence School District, Rhode Island",,NDA,NDA
"City of Taunton, Massachusetts",,NDA,NDA
"Northside Independent School District, Texas",,NDA,NDA
"Aspire Public Schools, California",,NDA,NDA
"Mifflin County School District, Pennsylvania",,NDA,NDA
"Lower Dauphin School District, Pennsylvania",,NDA,NDA
"Pocono Mountain School District, Pennsylvania",,NDA,NDA
"Ft. Worth ISD, Texas",,NDA,NDA
"Salinas Union High School District, California",,NDA,NDA
"City of Quincy, Massachusetts",,NDA,NDA
"Quincy Public Schools, Massachusetts",,NDA,NDA
"Madison Metropolitan School District, Wisconsin",,NDA,NDA
"UT Southwestern Medical Center, Texas",,NDA,NDA
"West Contra Costa Unified School District, California",,NDA,NDA
"Lake Washington School District, Washington",,NDA,NDA
"Department of the Navy - GSA, District of Columbia",,NDA,NDA
"Schaumburg Community Consolidated School District No. 54, Illinois",,NDA,NDA
"Belvidere Community Unit School District No. 100, Illinois",,NDA,NDA
"Osseo Independent School District No. 279, Minnesota",,NDA,NDA
"Monroe Public Schools, Washington",,NDA,NDA
"Klein ISD, Texas",,NDA,NDA
"Spring Branch ISD, Texas",,NDA,NDA
"Warren County School District, Pennsylvania",,NDA,NDA
"Alhambra Elementary School District, Arizona",,NDA,NDA
"Humble ISD, Texas",,NDA,NDA
"Putnam County School District, Florida",,NDA,NDA
"Missoula County Public Schools, Montana",,NDA,NDA
"Richmond County School System, Georgia",,NDA,NDA
"Hillsborough City School District, California",,NDA,NDA
"Dallas ISD, Texas",,NDA,NDA
"Clayton County Public Schools, Georgia",,NDA,NDA
"County of Los Angeles, California",,NDA,NDA
"Norman Public Schools, Oklahoma",,NDA,NDA
"Atlanta Public Schools, Georgia",,NDA,NDA
"Nebo School District, Utah",,NDA,NDA
"Seneca Highlands Intermediate Unit 9, Pennsylvania",,NDA,NDA
"Portland State University, Oregon",,NDA,NDA
"Butler Technology Career Development Schools, Ohio",,NDA,NDA
"Suwannee County Schools, Florida",,NDA,NDA
"Omaha Public Schools, Nebraska",,NDA,NDA
"Keller Independent School District, Texas",,NDA,NDA
"Minnesota Department of Health, Minnesota",,NDA,NDA
"Tucson Unified School District, Arizona",,NDA,NDA
"Perris Union High School District, California",,NDA,NDA
"Virginia Polytechnic Institute And State University, Virginia",,NDA,NDA
"Big Lake Independent School District No. 727, Minnesota",,NDA,NDA
"Texas Tech University, Texas",,NDA,NDA
"UCI Medical Center, California",,NDA,NDA
"Ouachita Parish School System, Louisiana",,NDA,NDA
"Parish of Ouachita, Louisiana",,NDA,NDA
"Northwest Tri-County Intermediate Unit 5, Pennsylvania",,NDA,NDA
"Arlington County Public Schools, Virginia",,NDA,NDA
"North Hills School District, Pennsylvania",,NDA,NDA
"School District of Grand Forks, North Dakota",,NDA,NDA
"City of Pawtucket, Rhode Island",,NDA,NDA
"Hurst-Euless-Bedford ISD, Texas",,NDA,NDA
"Redwood City School District, California",,NDA,NDA
"Virginia Beach Public Schools, Virginia",,NDA,NDA
"Lyon County School District, Nevada",,NDA,NDA
"Philadelphia School District, Pennsylvania",,NDA,NDA
"Volusia County Public Transit System, Florida",,NDA,NDA
"Ysleta Independent School District, Texas",,NDA,NDA
"Eastern York School District, Pennsylvania",,NDA,NDA
"Minnesota Department of Administration, Minnesota",,NDA,NDA
"Austin Public Schools, Minnesota",,NDA,NDA
"San Bernardino City Unified School District, California",,NDA,NDA
"Department of Veterans Affairs - GSA, District of Columbia",,NDA,NDA
"Folsom Cordova Unified School District, California",,NDA,NDA
"Sheldon Independent School District, Texas",,NDA,NDA
"Peoria Unified School District, Arizona",,NDA,NDA
"Upper Valley Career Center, Ohio",,NDA,NDA
"Central Susquehanna Intermediate Unit 16, Pennsylvania",,NDA,NDA
"Department of the Air Force - GSA, District of Columbia",,NDA,NDA
"Mason City School District, Ohio",,NDA,NDA
"Newport News Public Schools, Virginia",,NDA,NDA
"Laguna Beach Unified School District, California",,NDA,NDA
"Department of the Army - GSA, District of Columbia",,NDA,NDA
"Upland Unified School District, California",,NDA,NDA
"Southeast Polk Community School District, Iowa",,NDA,NDA
"Madison Local School District (Mansfield), Ohio",,NDA,NDA
"Brazosport Independent School District, Texas",,NDA,NDA
"Cucamonga School District, California",,NDA,NDA
"North East Independent School District, Texas",,NDA,NDA
"Dickinson Independent School District, Texas",,NDA,NDA
"Fontana Unified School District, California",,NDA,NDA
"Kansas City Kansas Public Schools USD 500, Kansas",,NDA,NDA
"Washoe County School District, Nevada",,NDA,NDA
"Val Verde Unified School District, California",,NDA,NDA
"Montclair State University, New Jersey",,NDA,NDA
"New York City School District #12, New York",,NDA,NDA
"George Washington Middle School, Texas",,NDA,NDA
"Walla Walla Public Schools, Washington",,NDA,NDA
"Jackson Health System, Florida",,NDA,NDA
"Shaler Area School District, Pennsylvania",,NDA,NDA
"Gallup-McKinley County Schools, New Mexico",,NDA,NDA
"Los Rios Community College District, California",,NDA,NDA
"Cincinnati City School District, Ohio",,NDA,NDA
"Gadsden Independent School District, New Mexico",,NDA,NDA
"Northgate School District, Pennsylvania",,NDA,NDA
"Twin Falls School District, Idaho",,NDA,NDA
"Yorktown Community Schools, Indiana",,NDA,NDA
"City of Woburn, Massachusetts",,NDA,NDA
"University of Michigan at Ann Arbor, Michigan",,NDA,NDA
"Fairfax County Schools, Virginia",,NDA,NDA
"St. Tammany Parish Public Schools, Louisiana",,NDA,NDA
"Northern Virginia Community College, Virginia",,NDA,NDA
"Seminole County Public Schools, Florida",,NDA,NDA
"Fayette County Public Schools, Kentucky",,NDA,NDA
"Lincoln Public School District, Nebraska",,NDA,NDA
"Los Fresnos Consolidated Independent School District, Texas",,NDA,NDA
"Yakima School District, Washington",,NDA,NDA
"Granite School District, Utah",,NDA,NDA
"Woodland School District No. 50, Illinois",,NDA,NDA
"Town of Burlington, Massachusetts",,NDA,NDA
"City of Elk Grove, California",,NDA,NDA
"Coronado Middle School, California",,NDA,NDA
"Onondaga-Cortland-Madison BOCES, New York",,NDA,NDA
"Peninsula School District, Washington",,NDA,NDA
"Antioch Community Consolidated School District No. 34, Illinois",,NDA,NDA
"Exeter Township School District, Pennsylvania",,NDA,NDA
"North Spencer County School District, Indiana",,NDA,NDA
"Crete-Monee School District No. 201-U, Illinois",,NDA,NDA
"Cutler-Orosi Joint Unified School District, California",,NDA,NDA
"Metropolitan Nashville Public Schools, Tennessee",,NDA,NDA
"Roswell Independent School District, New Mexico",,NDA,NDA
"Garden Grove Unified School District, California",,NDA,NDA
"Williamson County Schools, Tennessee",,NDA,NDA
"Northridge Local School District (Dayton), Ohio",,NDA,NDA
"Prince George's County Public Schools, Maryland",,NDA,NDA
"Downey Unified School District, California",,NDA,NDA
"Saddleback Valley Unified School District, California",,NDA,NDA
"El Paso Independent School District, Texas",,NDA,NDA
"Longview School District, Washington",,NDA,NDA
"Cedar Falls Community School District, Iowa",,NDA,NDA
"Canutillo ISD, Texas",,NDA,NDA
"Dublin Unified School District, California",,NDA,NDA
"Cajon Valley Union School District, California",,NDA,NDA
"Detroit Public Schools, Michigan",,NDA,NDA
"Elkhorn Public Schools, Nebraska",,NDA,NDA
"Department of Defense: Defense Logistics Agency, Virginia",,NDA,NDA
"School District of New Berlin, Wisconsin",,NDA,NDA
"Albuquerque Public Schools, New Mexico",,NDA,NDA
"Lancaster Central School District, New York",,NDA,NDA
"Kenton County School District, Kentucky",,NDA,NDA
"Newark Public Schools, New Jersey",,NDA,NDA
"Revere Public Schools, Massachusetts",,NDA,NDA
